地域階層,地域コード,国・地域(人),総数,男,女,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍・その他
0,13000,東京都総数,647416,323244,324172,567699,184,43,19868,7,28,6241,22,933,3860,257198,21771,27,7,17537,9719,1031,29,312,59,87955,4373,17,254,48,3376,4735,14,18,35310,1481,35634,13,158,134,1510,8585,1036,44087,70,15,36999,20,306,424,166,159,49,136,331,54,324,7288,3092,114,254,32,445,2308,105,237,8,27,48,129,15,40,27,657,196,654,285,529,3800,0,1542,829,528,19,77,6939,1159,3303,21,58,0,29,41,73,23,1,2,92,4,4477,93,16,6,205,5,0,3,144,2,2,37,5,242,3,12,8,580,230,17,2,38,153,17,8,12,36,55,5,223,29,18,14,2,625,6,29,191,32,6,48,3,3,3,89,12,265,141,269,387,35,23,57,20,11,25356,6,3,6,3660,58,80,48,4,30,40,6,33,122,942,9,34,3,0,14,34,20217,3,4,8046,532,128,4045,382,586,59,1,81,2113,5,29,85,4468,3326,60,0,4,6,988,0,11,5,13,29,0,17,9,371
1,13100,区部,542864,272196,270668,477541,88,37,18005,5,22,5391,20,594,2945,223675,18881,25,7,16220,6744,715,20,284,49,74563,3031,16,118,37,2692,3770,12,15,29788,1172,26255,10,142,75,1313,6854,885,32988,63,15,32484,12,270,368,132,136,42,107,296,44,277,6677,2730,103,211,30,377,2018,80,200,8,25,41,107,15,31,24,580,174,553,252,446,3277,0,1326,743,477,10,51,5948,935,3062,15,51,0,24,31,66,16,0,2,80,4,2998,76,6,6,134,5,0,1,121,2,1,29,2,198,0,8,3,315,70,14,2,25,103,8,6,11,21,41,5,181,22,17,11,2,421,5,21,117,7,4,32,3,1,3,55,8,230,98,201,265,23,6,28,18,6,20792,4,3,5,3087,48,57,39,3,25,26,5,23,77,778,8,22,2,0,14,28,16532,3,3,5014,426,92,2708,328,440,49,1,49,825,5,26,65,3719,2884,33,0,3,5,739,0,11,2,8,13,0,16,5,316
4,13101,千代田区,3858,2067,1791,3261,0,0,20,0,0,8,0,3,4,2101,263,0,0,78,21,3,1,1,0,457,6,0,2,0,24,6,0,0,22,5,68,1,0,0,27,45,2,93,0,0,297,0,3,9,0,0,1,0,5,0,2,82,29,1,1,1,1,18,0,1,0,0,1,1,0,1,0,7,5,3,3,3,42,0,11,8,2,0,0,52,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,236,0,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,187,0,0,19,1,0,12,1,3,0,0,0,1,0,0,1,38,34,0,0,0,0,4,0,0,0,0,0,0,0,0,1
4,13102,中央区,10370,5158,5212,8587,0,0,83,0,0,12,5,12,11,5094,559,0,0,286,80,9,2,15,1,1573,27,0,2,0,76,27,0,0,81,10,171,0,6,0,66,107,14,257,1,0,894,1,12,8,1,9,0,8,12,0,8,132,73,9,10,0,11,69,0,6,0,0,1,4,0,2,1,15,2,12,5,9,155,0,33,25,10,0,0,174,33,38,1,2,0,0,0,0,0,0,0,3,0,32,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,5,0,2,6,0,0,0,0,0,603,0,0,0,111,2,1,0,0,0,1,0,0,1,19,0,3,1,0,3,1,460,0,0,98,9,2,48,9,14,0,0,1,13,0,0,2,152,118,0,0,0,0,29,0,0,0,0,0,0,5,0,4
4,13103,港区,21278,10883,10395,13639,4,9,92,1,1,57,0,12,34,6214,900,4,0,484,145,71,1,62,6,3512,24,9,2,6,116,47,0,1,127,72,964,3,33,9,170,172,66,207,0,2,3331,2,38,40,11,9,3,7,63,2,27,561,292,13,30,8,71,236,6,7,3,1,5,14,3,7,0,86,11,61,30,78,269,0,129,89,81,1,0,790,111,99,2,5,0,4,2,5,2,0,0,17,0,215,5,0,0,3,0,0,0,1,1,0,0,0,8,0,0,0,21,0,0,0,1,1,0,0,4,0,4,0,20,0,2,1,0,17,0,0,2,2,0,1,0,0,0,1,0,44,4,28,35,0,0,6,0,3,3117,0,0,1,371,5,7,4,1,0,2,0,4,5,48,0,1,0,0,3,2,2663,0,0,389,29,6,223,20,39,3,0,1,64,0,0,4,571,479,2,0,0,0,85,0,0,0,0,1,0,4,0,16
4,13104,新宿区,43897,22944,20953,39139,9,12,2375,1,0,397,0,23,73,17240,1829,3,0,275,220,33,0,23,0,9021,105,0,15,1,163,166,3,0,3183,50,658,0,25,1,93,603,62,2474,3,0,2646,2,20,18,8,5,9,7,16,5,24,723,194,11,17,3,23,152,5,15,0,4,3,3,0,0,0,44,18,34,21,18,233,0,121,53,65,2,2,383,65,301,1,2,0,2,3,6,0,0,1,3,1,137,4,1,0,6,0,0,0,5,1,1,3,0,3,0,5,1,6,0,0,0,3,4,0,0,0,2,0,0,14,1,1,1,1,18,0,1,6,0,0,0,0,0,1,7,2,19,4,7,6,0,0,3,0,0,1410,0,0,0,204,1,4,2,0,4,1,0,0,1,46,0,0,0,0,0,2,1145,0,0,333,43,5,173,25,36,1,0,1,45,0,3,1,211,169,0,0,1,0,37,0,2,0,0,0,0,1,1,21
4,13105,文京区,14036,6899,7137,12213,4,2,481,0,0,20,0,6,37,7639,619,2,1,118,82,19,0,5,0,1622,35,0,2,2,143,50,0,0,277,6,210,0,4,4,43,230,22,528,0,0,1034,1,8,34,9,4,2,6,14,5,12,281,96,4,5,0,6,61,4,0,0,0,0,2,2,0,1,20,6,22,11,14,70,0,49,22,22,4,1,131,45,53,0,1,0,1,0,3,0,0,0,2,0,63,5,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,2,0,0,0,0,5,0,1,0,4,1,0,2,1,0,0,0,5,0,1,2,0,0,0,0,0,0,3,0,5,0,1,13,1,0,3,0,0,556,0,0,1,94,1,0,0,1,0,0,0,0,0,11,1,3,0,0,3,0,440,1,0,70,8,3,32,6,7,2,0,0,9,0,1,2,95,64,1,0,0,0,27,0,1,0,0,0,0,1,1,5
4,13106,台東区,18485,9410,9075,16921,11,1,274,0,0,36,0,25,100,9031,653,2,0,775,159,10,0,8,0,2816,76,0,4,0,69,88,0,0,561,49,776,0,2,0,33,367,41,954,0,0,915,0,4,9,1,4,1,1,4,2,2,184,68,7,7,0,4,61,2,6,0,1,2,3,0,0,0,11,7,10,7,8,96,0,35,18,15,1,2,136,44,144,0,0,0,0,0,5,1,0,0,2,0,34,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,432,0,0,0,70,0,3,1,0,1,0,0,1,2,22,1,0,0,0,1,0,330,0,0,100,10,1,46,8,16,1,0,0,17,0,0,1,75,61,2,0,0,0,12,0,0,0,0,0,0,0,0,8
4,13107,墨田区,15663,7266,8397,14352,1,0,185,0,0,135,1,18,87,7848,586,0,0,160,162,15,1,0,5,1910,77,0,5,0,71,144,0,0,405,10,1324,0,2,0,28,387,21,763,1,0,659,0,7,3,4,3,2,1,3,0,4,95,43,1,2,1,5,34,0,13,0,0,1,4,0,2,1,12,1,10,6,29,108,0,18,8,6,0,0,104,26,95,0,0,0,0,1,2,0,0,0,4,0,99,2,0,1,12,0,0,0,5,0,0,1,0,8,0,0,0,7,3,0,0,0,2,1,0,0,0,1,0,6,0,0,0,0,11,0,0,2,0,0,0,0,0,0,2,0,4,21,7,3,0,0,0,0,0,329,0,0,0,52,0,1,1,0,1,0,0,0,0,21,1,0,0,0,0,0,252,0,0,152,17,1,75,16,9,1,0,0,29,0,1,3,64,46,0,0,0,0,15,0,0,0,0,1,0,2,0,8
4,13108,江東区,37006,18048,18958,34140,4,1,683,0,5,160,1,34,128,18639,868,0,0,3810,325,43,2,7,4,4515,179,0,10,2,160,174,1,4,865,92,1685,0,2,10,72,416,47,1187,1,4,1547,0,9,10,2,13,1,8,9,1,15,193,177,3,11,0,13,67,11,20,1,1,3,12,0,3,2,26,12,35,15,32,317,0,39,42,11,0,2,214,78,120,3,4,0,1,2,6,0,0,0,3,0,177,3,1,0,0,0,0,0,5,0,0,1,0,11,0,0,0,25,3,2,0,1,14,0,0,0,0,1,0,2,6,2,0,0,17,1,7,3,1,1,3,2,0,0,6,0,12,8,10,25,1,0,3,0,0,759,0,1,1,150,5,3,1,0,2,0,0,1,4,41,1,1,0,0,0,3,545,0,0,211,20,5,107,14,18,10,0,1,34,0,0,2,156,120,2,0,1,0,30,0,0,0,1,1,0,0,1,16
